,Person ID,Region,Residence Type,Family Composition,Population Base,Sex,Age,Marital Status,Student,Country of Birth,Health,Ethnic Group,Religion,Economic Activity,Occupation,Industry,Hours worked per week,Approximated Social Grade
280573,7679150,E12000008,H,3,1,1,2,1,2,2,1,4,2,1,7,4,3,4
11437,7404981,E12000002,H,-9,2,1,2,1,1,-9,-9,-9,-9,-9,-9,-9,-9,-9
472608,7871407,E12000007,H,2,1,2,4,2,2,1,2,3,4,2,2,8,4,1
243432,7643518,E12000004,H,3,1,1,1,1,2,1,1,1,1,-9,-9,-9,-9,-9
361027,7763200,E12000002,H,2,1,2,6,2,2,1,4,1,9,5,-9,-9,-9,4
47083,7446228,E12000009,H,2,1,1,6,2,2,1,2,1,2,2,1,5,1,2
567398,7724375,E12000008,C,-9,1,1,8,5,2,1,3,1,2,5,5,3,-9,-9
513911,7918578,E12000007,H,1,1,1,2,1,2,1,2,1,1,1,5,2,3,3
548841,7956784,W92000004,H,2,1,2,3,2,2,1,2,1,1,1,3,8,3,1
184350,7584484,E12000008,H,2,1,1,4,1,2,1,2,1,1,1,3,7,3,2
379227,7778269,E12000003,H,5,1,2,1,1,1,1,1,1,1,-9,-9,-9,-9,-9
496610,7901597,E12000007,H,1,1,2,3,1,2,2,3,1,2,1,4,8,4,2
110607,7505024,E12000009,H,2,1,2,2,2,2,1,2,1,1,2,6,12,3,3
560000,7821877,E12000005,C,-9,1,1,2,1,2,1,2,1,1,8,-9,-9,-9,-9
554745,7949936,W92000004,H,5,1,1,3,1,2,1,1,1,1,1,9,4,3,4
398733,7805380,E12000005,H,2,1,1,6,2,2,1,2,1,1,1,2,11,2,2
252941,7652773,E12000006,H,2,1,2,8,2,2,1,3,1,2,5,2,10,-9,3
98019,7494812,E12000002,H,2,1,2,6,2,2,1,2,1,2,1,9,11,2,4
332861,7730320,E12000005,H,1,1,1,8,1,2,1,3,1,1,5,5,5,-9,4
231772,7628931,E12000002,H,1,1,1,3,1,2,2,2,1,1,1,8,4,3,4
496272,7900591,E12000007,H,1,1,1,2,1,1,1,2,1,1,4,7,4,1,2
421619,7825858,E12000005,H,2,1,2,3,2,2,1,2,1,2,7,5,5,-9,2
110451,7509125,E12000009,H,2,1,1,2,1,2,1,1,1,1,1,4,6,3,2
342310,7745146,E12000002,H,2,1,1,5,2,2,1,2,1,2,2,8,6,3,4
217101,7617873,E12000008,H,2,1,1,5,2,2,1,1,1,2,1,1,10,4,1
45883,7443991,E12000009,H,5,1,2,1,1,1,1,1,1,1,-9,-9,-9,-9,-9
454138,7859770,E12000007,H,2,1,2,4,2,2,1,2,1,1,1,7,4,1,4
340258,7745086,E12000002,H,2,1,2,5,2,2,2,2,1,6,7,-9,-9,-9,4
478755,7881661,E12000007,H,5,1,2,1,1,1,1,1,5,6,-9,-9,-9,-9,-9
387291,7790139,E12000001,H,3,1,2,5,3,2,1,4,1,2,7,9,5,-9,2
401896,7800021,E12000005,H,2,1,1,4,1,2,1,2,1,1,3,5,3,-9,3
500782,7902705,E12000007,H,1,1,1,6,1,2,1,2,1,9,1,5,3,3,3
429326,7833435,E12000003,H,4,1,1,1,1,2,1,1,1,1,-9,-9,-9,-9,-9
70319,7465606,E12000008,H,1,1,1,7,5,2,1,2,1,2,5,2,8,-9,1
375850,7772317,E12000002,H,2,1,1,5,2,2,1,2,1,1,1,1,2,3,2
36069,7428991,E12000005,H,2,1,1,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
431513,7837625,E12000003,H,2,1,1,1,1,1,1,2,1,1,-9,-9,-9,-9,-9
533112,7945664,W92000004,H,5,1,2,7,5,2,1,2,1,2,5,-9,-9,-9,4
289622,7689756,E12000005,H,1,1,2,5,5,2,1,3,1,2,1,2,4,3,1
500767,7905449,E12000007,H,1,1,2,2,1,1,1,2,1,2,4,2,10,1,2
411753,7816742,E12000005,H,3,1,2,1,1,1,1,1,1,1,-9,-9,-9,-9,-9
155413,7551026,E12000009,H,2,1,1,5,2,2,2,2,1,2,1,1,8,3,2
426120,7827347,E12000003,H,1,1,2,8,3,2,1,4,1,9,5,-9,-9,-9,4
154643,7551700,E12000009,H,2,1,1,6,2,2,1,2,1,2,1,1,2,4,1
489579,7890257,E12000007,H,1,1,1,3,1,2,1,2,1,2,1,2,8,3,1
200433,7600246,E12000006,H,5,1,1,5,2,2,1,2,1,1,1,3,12,3,2
319344,7720679,E12000008,H,1,1,1,5,3,2,1,2,1,2,1,1,9,3,2
382468,7784454,E12000003,H,3,1,2,1,1,2,1,1,1,1,-9,-9,-9,-9,-9
510271,7910474,E12000007,H,6,1,1,4,2,1,2,1,4,2,4,1,4,3,2
167237,7567421,E12000006,H,2,1,1,4,2,2,1,5,1,1,8,5,6,-9,3
512018,7919199,E12000007,H,1,1,2,6,4,2,1,3,1,1,8,9,10,-9,4
281524,7682341,E12000009,H,3,1,1,4,1,2,1,1,1,2,1,5,6,3,3
68826,7463646,E12000008,H,3,1,1,5,4,2,1,2,1,1,1,8,6,4,3
179524,7580298,E12000008,H,2,1,2,4,2,2,2,3,3,2,1,2,6,3,1
160256,7556993,E12000008,H,6,1,1,1,1,2,1,1,1,2,-9,-9,-9,-9,-9
19418,7413618,E12000003,H,3,1,2,2,1,2,1,1,1,1,1,4,8,3,2
541079,7951491,W92000004,H,2,1,1,1,1,1,1,1,3,6,-9,-9,-9,-9,-9
76317,7474940,E12000008,H,3,1,2,1,1,1,1,3,1,1,-9,-9,-9,-9,-9
356487,7758076,E12000002,H,-9,3,1,3,2,2,2,2,3,2,7,-9,-9,-9,-9
354745,7754568,E12000002,H,5,1,2,3,1,2,1,1,1,2,1,6,12,2,3
567000,7483716,E12000008,C,-9,1,2,4,1,2,1,2,1,2,8,-9,-9,-9,-9
426709,7830831,E12000003,H,3,1,2,1,1,1,2,1,4,2,-9,-9,-9,-9,-9
110714,7509462,E12000009,H,2,1,2,4,2,2,1,1,1,2,1,9,10,1,4
196759,7594788,E12000006,H,2,1,2,5,2,2,1,1,1,2,7,3,3,-9,1
187161,7586812,E12000008,H,2,1,2,5,2,2,1,3,1,2,8,4,10,-9,1
516606,7920639,E12000007,H,3,1,1,3,1,2,1,2,1,1,2,3,6,4,2
419696,7823241,E12000005,H,2,1,2,1,1,1,1,2,3,4,-9,-9,-9,-9,-9
212396,7613547,E12000008,H,5,1,2,8,5,2,1,2,1,2,5,6,11,-9,4
208706,7609689,E12000008,H,2,1,1,4,2,2,2,1,1,1,1,3,11,3,1
503668,7909627,E12000007,H,3,1,2,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
266376,7668704,E12000004,H,2,1,2,7,2,2,1,3,1,2,5,-9,-9,-9,1
302897,7696151,E12000006,H,3,1,1,1,1,1,1,1,1,9,-9,-9,-9,-9,-9
171461,7569181,E12000006,H,5,1,1,3,1,2,1,1,1,1,1,3,8,2,2
384541,7783351,E12000003,H,2,1,2,3,2,2,1,2,2,6,2,6,12,3,3
179303,7579865,E12000008,H,6,1,2,3,1,2,1,1,1,2,1,6,11,2,3
93762,7491843,E12000001,H,2,1,2,2,2,2,1,1,1,2,7,6,10,-9,3
6893,7401404,E12000002,H,2,1,2,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
342067,7743883,E12000002,H,2,1,2,6,2,2,1,4,1,2,5,9,6,-9,4
209308,7606663,E12000008,H,2,1,2,1,1,1,1,2,1,2,-9,-9,-9,-9,-9
211361,7605555,E12000008,H,2,1,2,5,2,2,1,1,1,2,1,2,11,3,2
495451,7900605,E12000007,H,1,1,2,2,1,1,1,1,1,1,4,4,12,1,2
347291,7752626,E12000002,H,2,1,2,2,1,1,1,1,1,2,4,4,8,1,2
164318,7561733,E12000006,H,3,1,1,6,2,2,1,1,1,2,1,9,6,3,3
176318,7570698,E12000006,H,2,1,2,8,2,2,1,3,1,2,5,4,6,-9,1
154740,7553089,E12000009,H,2,1,1,8,2,2,1,3,1,2,5,5,6,-9,4
105957,7507755,E12000009,H,3,1,2,4,1,2,1,1,1,1,1,6,8,1,4
69504,7465901,E12000008,H,3,1,2,4,1,2,1,1,1,1,1,1,8,3,2
342136,7742193,E12000002,H,2,1,1,8,2,2,2,4,4,9,1,3,3,3,2
160892,7562050,E12000006,H,5,1,2,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
99700,7494015,E12000002,H,3,1,1,1,1,2,1,2,1,9,-9,-9,-9,-9,-9
362806,7764971,E12000002,H,3,1,1,8,2,2,1,3,1,2,5,5,3,-9,3
561700,7705926,E12000008,C,-9,1,1,2,1,1,2,1,5,6,6,-9,-9,-9,-9
497883,7901552,E12000007,H,2,1,1,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
377272,7781528,E12000003,H,2,1,1,4,1,2,1,4,1,2,8,9,2,-9,2
47293,7443013,E12000009,H,2,1,2,1,1,1,2,1,3,9,-9,-9,-9,-9,-9
483256,7886392,E12000007,H,2,1,1,5,2,2,2,1,3,4,1,1,7,4,1
532593,7946374,W92000004,H,2,1,2,6,2,2,1,3,1,1,5,2,10,-9,4
365530,7770623,E12000002,H,3,1,2,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
30881,7426585,E12000004,H,1,1,2,2,1,2,1,1,1,1,1,4,7,3,2
459179,7861983,E12000007,H,5,1,2,1,1,1,1,1,1,1,-9,-9,-9,-9,-9
147598,7547289,E12000009,H,5,1,2,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
98365,7494804,E12000002,H,5,1,2,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
244709,7642592,E12000004,H,2,1,2,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
86897,7481544,E12000008,H,1,1,1,4,1,2,1,2,1,1,8,9,8,-9,4
473597,7880464,E12000007,H,3,1,2,3,1,2,1,1,1,2,1,4,7,3,2
130367,7525764,E12000006,H,2,1,1,4,2,2,2,2,1,2,1,9,4,3,4
109451,7510875,E12000009,H,2,1,2,7,2,2,1,2,1,2,5,2,6,-9,1
398038,7805228,E12000005,H,2,1,2,6,2,2,1,2,1,2,5,2,10,-9,4
457127,7858950,E12000007,H,2,1,2,3,1,2,1,2,3,4,1,9,4,3,4
410656,7812797,E12000005,H,1,1,1,8,4,2,1,4,1,2,5,3,2,-9,4
129362,7525392,E12000006,H,2,1,2,4,2,2,1,2,1,2,1,7,4,1,4
450913,7854887,E12000007,H,2,1,2,6,2,2,2,1,3,2,3,3,4,-9,3
330303,7732829,E12000005,H,2,1,2,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
88811,7487699,E12000001,H,3,1,2,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
146215,7544220,E12000009,H,2,1,1,6,2,2,1,1,1,2,2,5,3,3,3
454341,7859290,E12000007,H,2,1,2,2,1,1,1,1,1,1,6,6,7,-9,2
243913,7642103,E12000004,H,2,1,1,2,1,2,1,1,1,2,6,9,5,-9,2
216094,7615339,E12000008,H,5,1,2,4,3,1,2,5,3,1,4,2,10,1,2
22824,7421179,E12000004,H,2,1,2,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
265594,7661777,E12000003,H,1,1,2,8,5,2,1,3,1,2,5,9,11,-9,4
190162,7586373,E12000008,H,2,1,1,8,2,2,1,3,1,2,5,5,3,-9,3
202078,7598181,E12000006,H,2,1,2,3,2,2,1,2,1,2,1,3,7,4,1
10286,7404244,E12000002,H,6,1,1,2,1,1,1,2,1,2,6,-9,-9,-9,2
356501,7758509,E12000002,H,1,1,1,4,1,2,1,2,1,2,1,8,8,3,4
82516,7471000,E12000008,H,2,1,1,1,1,1,1,2,1,2,-9,-9,-9,-9,-9
542715,7961555,W92000004,H,2,1,1,7,2,2,1,3,1,2,5,8,2,-9,4
54070,7447379,E12000009,H,1,1,1,4,3,2,1,1,1,9,2,8,8,3,4
59452,7457823,E12000006,H,6,1,1,3,1,1,2,1,3,4,6,9,8,-9,2
436586,7844748,E12000003,H,1,1,1,2,1,1,1,2,1,2,6,9,5,-9,2
68682,7465674,E12000008,H,3,1,1,5,4,2,1,2,1,2,1,8,4,1,4
338319,7739975,E12000002,H,5,1,2,5,1,2,1,2,4,2,9,9,8,-9,4
23429,7415943,E12000003,H,2,1,1,4,2,2,1,1,1,9,1,8,2,3,4
429648,7828987,E12000003,H,2,1,1,2,1,1,1,1,1,1,4,7,4,1,2
133269,7530885,E12000002,H,2,1,2,6,2,2,1,1,1,2,5,2,5,-9,1
265170,7664599,E12000003,H,2,1,2,8,2,2,1,2,1,2,5,5,10,-9,2
344673,7748625,E12000002,H,1,1,2,7,5,2,1,3,1,2,5,9,12,-9,4
483371,7887994,E12000007,H,2,1,1,6,2,2,2,2,1,5,2,5,3,3,3
326698,7727040,E12000008,H,1,1,2,5,4,2,1,2,1,2,1,1,4,3,2
443711,7849694,E12000007,H,3,1,1,3,1,2,1,1,1,2,2,2,8,4,1
451183,7854395,E12000007,H,2,1,1,7,2,2,2,2,3,4,2,4,8,3,2
480950,7884610,E12000007,H,1,1,1,4,1,2,1,3,4,1,1,7,7,3,2
495580,7901232,E12000007,H,1,1,2,8,5,2,1,3,1,2,5,4,9,-9,2
294454,7687842,E12000005,H,2,1,1,6,2,2,1,2,1,2,2,2,11,1,1
329856,7734156,E12000002,H,1,1,2,8,5,2,1,2,1,2,5,4,9,-9,2
552196,7960530,W92000004,H,2,1,2,2,1,2,1,1,1,2,1,8,8,3,4
161623,7560189,E12000006,H,2,1,1,1,1,1,1,2,1,2,-9,-9,-9,-9,-9
237599,7637612,E12000004,H,2,1,2,5,2,2,1,1,1,2,1,6,10,1,3
326550,7729805,E12000005,H,5,1,1,3,1,2,1,2,1,2,1,7,4,3,4
421497,7823068,E12000005,H,1,1,2,3,1,2,1,2,1,1,1,2,11,3,2
520474,7929508,E12000007,H,1,1,1,6,1,2,1,1,1,2,1,2,5,3,1
346560,7743934,E12000002,H,5,1,2,5,4,2,1,1,1,2,1,7,4,3,4
122306,7521719,E12000008,H,2,1,1,8,2,2,1,3,1,2,5,2,2,-9,1
23149,7416431,E12000003,H,6,1,1,3,1,2,1,1,1,2,1,1,2,3,2
15073,7408896,E12000003,H,1,1,1,3,1,2,1,2,1,1,3,8,2,-9,3
283401,7684030,E12000009,H,2,1,2,7,2,2,1,3,1,2,5,2,10,-9,3
85202,7484016,E12000008,H,2,1,2,5,2,2,1,2,1,2,1,4,9,3,2
525048,7929232,E12000007,H,1,1,2,3,1,2,1,1,1,1,1,3,12,3,1
121043,7515183,E12000006,H,2,1,2,4,2,2,1,1,1,2,1,7,4,2,4
476385,7877331,E12000007,H,2,1,2,4,2,2,2,1,1,1,1,1,7,3,1
493098,7894786,E12000007,H,2,1,1,3,2,2,1,1,1,2,2,5,8,3,3
518146,7922927,E12000007,H,1,1,2,8,5,2,1,3,1,9,5,9,7,-9,4
467406,7869920,E12000007,H,3,1,1,3,1,2,2,2,3,6,3,5,2,-9,2
139174,7539527,E12000004,H,2,1,2,7,2,2,1,3,1,2,5,9,6,-9,4
112238,7508177,E12000009,H,2,1,1,1,1,1,1,2,1,1,-9,-9,-9,-9,-9
350719,7750092,E12000002,H,3,1,1,4,1,2,1,2,1,2,3,5,3,-9,2
207450,7607697,E12000008,H,1,1,2,8,5,2,1,4,1,2,5,4,9,-9,2
399346,7806084,E12000005,H,1,1,1,5,1,2,1,1,1,2,1,2,10,4,1
192805,7591529,E12000008,H,2,1,1,5,2,2,1,2,1,2,1,1,3,3,1
357221,7760294,E12000002,H,2,1,2,4,2,2,1,2,1,1,1,3,11,3,2
283537,7686377,E12000009,H,2,1,2,6,2,2,1,2,1,2,1,2,11,3,2
103856,7500663,E12000005,H,1,1,2,8,5,2,1,3,1,2,5,-9,-9,-9,4
68164,7465805,E12000008,H,2,1,1,4,2,2,1,1,1,2,2,5,3,3,3
394209,7798233,E12000001,H,3,1,1,3,1,2,2,1,1,2,3,8,2,-9,3
323776,7727538,E12000008,H,3,1,1,1,1,1,1,2,1,1,-9,-9,-9,-9,-9
153239,7549824,E12000009,H,2,1,2,2,1,2,1,1,1,2,1,7,4,2,4
534846,7937824,W92000004,H,4,1,1,4,1,2,1,1,1,2,1,1,4,3,2
290165,7690588,E12000005,H,1,1,2,5,4,2,1,4,1,1,8,8,2,-9,4
478786,7881656,E12000007,H,2,1,2,1,1,1,1,1,2,2,-9,-9,-9,-9,-9
210801,7605491,E12000008,H,2,1,2,7,2,2,1,3,1,2,5,7,6,-9,4
166788,7564008,E12000006,H,5,1,2,2,1,2,1,1,1,2,1,3,9,3,1
468834,7872352,E12000007,H,3,1,1,8,4,2,1,2,1,2,2,2,12,4,1
552218,7960679,W92000004,H,2,1,1,1,1,1,1,2,1,2,-9,-9,-9,-9,-9
366823,7771314,E12000002,H,2,1,1,7,2,2,1,3,1,2,5,9,3,-9,4
195602,7593912,E12000006,H,2,1,2,5,2,2,1,2,1,2,1,2,10,3,1
271956,7672672,E12000004,H,1,1,1,8,2,2,1,4,1,9,5,5,2,-9,4
373863,7775742,E12000003,H,2,1,1,6,2,2,1,4,1,1,1,3,4,3,2
123001,7519043,E12000008,H,2,1,2,5,2,2,1,1,1,1,2,3,8,1,2
136485,7533840,E12000004,H,3,1,1,2,1,1,1,2,1,2,6,-9,-9,-9,2
30076,7427370,E12000004,H,2,1,1,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
114184,7510444,E12000009,H,2,1,1,5,2,2,1,1,1,2,2,3,4,3,2
251981,7653579,E12000004,H,3,1,1,2,1,1,1,1,1,1,4,5,5,3,2
188136,7588613,E12000008,H,1,1,1,7,1,2,1,5,1,2,5,8,6,-9,3
111836,7512029,E12000009,H,4,1,1,5,4,2,1,2,1,2,1,4,10,3,2
35746,7431564,E12000005,H,1,1,1,5,4,2,1,4,1,2,8,8,2,-9,4
77623,7475489,E12000008,H,2,1,1,5,2,2,1,1,1,1,1,2,4,3,1
197022,7595553,E12000006,H,2,1,1,7,2,2,1,3,1,9,5,1,6,-9,2
532917,7941373,W92000004,H,2,1,1,7,2,2,1,1,1,2,5,5,3,-9,2
261173,7661582,E12000003,H,2,1,1,6,2,2,1,1,1,1,1,3,8,2,2
404086,7809619,E12000005,H,1,1,1,6,1,2,1,3,1,9,1,1,4,3,2
46626,7441316,E12000009,H,2,1,1,7,2,2,1,2,1,2,2,1,4,3,2
529074,7935724,W92000004,H,5,1,1,1,1,1,1,2,1,1,-9,-9,-9,-9,-9
145581,7543870,E12000009,H,2,1,2,5,2,2,1,1,1,2,2,5,4,3,3
323826,7727472,E12000008,H,2,1,2,7,2,2,1,3,1,2,5,2,11,-9,3
500727,7905401,E12000007,H,3,1,1,5,1,2,1,1,1,2,2,1,4,4,1
83057,7476412,E12000008,H,1,1,2,7,4,2,1,3,1,1,1,2,10,2,1
409677,7800878,E12000005,H,2,1,2,5,2,2,1,2,1,2,1,6,11,2,4
378141,7780273,E12000003,H,3,1,1,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
517836,7924067,E12000007,H,2,1,2,1,1,1,1,2,3,6,-9,-9,-9,-9,-9
247191,7647725,E12000006,H,2,1,2,5,2,2,1,1,1,2,1,1,11,3,2
74590,7467734,E12000008,H,4,1,1,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
6351,7401174,E12000001,H,2,1,1,3,2,2,1,2,1,1,2,1,2,4,1
403376,7807565,E12000005,H,1,1,1,2,1,1,2,1,3,7,4,7,4,-9,2
135682,7533998,E12000004,H,2,1,1,5,2,2,2,1,1,2,1,1,4,3,2
502554,7906989,E12000007,H,5,1,1,5,1,2,1,3,1,2,8,-9,-9,-9,3
87435,7481419,E12000008,H,1,1,1,2,1,1,1,1,1,1,6,6,11,-9,2
338391,7743977,E12000002,H,5,1,2,3,1,2,1,2,1,2,1,4,11,2,2
360533,7761350,E12000002,H,2,1,2,7,2,2,1,2,1,9,5,6,10,-9,4
324213,7724355,E12000008,H,2,1,2,4,2,2,1,1,1,2,1,9,5,2,4
79718,7475515,E12000008,H,2,1,1,7,2,2,1,1,1,2,5,2,8,-9,1
272717,7672825,E12000004,H,2,1,1,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
528444,7932502,E12000007,H,2,1,1,6,2,2,2,1,1,9,1,1,6,3,1
506393,7908176,E12000007,H,2,1,2,1,1,2,1,1,4,2,-9,-9,-9,-9,-9
38024,7435283,E12000009,H,1,1,1,2,1,1,1,1,1,1,4,3,10,1,2
117089,7512142,E12000009,H,1,1,2,3,1,2,1,2,1,1,1,4,4,4,2
499965,7902831,E12000007,H,1,1,2,7,4,2,1,5,1,2,3,4,8,-9,2
45703,7440394,E12000009,H,5,1,2,2,1,2,1,2,1,1,3,6,12,-9,4
517461,7921050,E12000007,H,2,1,1,5,2,2,1,1,1,1,1,5,4,4,3
9266,7403273,E12000002,H,2,1,2,1,1,2,1,1,1,2,-9,-9,-9,-9,-9
451544,7854320,E12000007,H,1,1,1,3,1,2,1,3,1,2,1,2,12,3,2
17136,7412635,E12000003,H,2,1,2,6,2,2,1,1,1,2,1,3,8,2,2
423764,7832152,E12000003,H,1,1,1,4,2,2,2,3,3,6,1,5,5,2,4
98102,7494869,E12000002,H,2,1,2,4,2,2,1,1,1,2,1,4,4,3,2
520673,7927449,E12000007,H,1,1,1,2,1,1,2,2,3,9,4,9,5,2,2
429298,7832671,E12000003,H,4,1,2,2,1,2,1,1,1,1,1,9,11,2,4
493044,7894715,E12000007,H,2,1,2,6,2,2,1,3,1,2,1,4,10,3,2
564879,7489169,E12000001,C,-9,1,2,2,1,1,2,3,1,2,6,7,8,-9,-9
245447,7645146,E12000006,H,2,1,2,8,2,2,1,2,1,2,5,5,10,-9,4
166226,7564653,E12000006,H,2,1,2,6,2,2,1,2,1,2,1,2,9,3,2
496064,7900544,E12000007,H,2,1,2,1,1,2,1,1,1,9,-9,-9,-9,-9,-9
386487,7789317,E12000001,H,3,1,2,6,1,2,1,3,1,2,7,8,2,-9,4
321779,7724182,E12000008,H,5,1,2,8,5,2,1,3,1,2,5,1,7,-9,1
258716,7660503,E12000003,H,2,1,2,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
297119,7700482,E12000006,H,2,1,1,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
339877,7741336,E12000002,H,5,1,2,2,1,1,1,1,1,2,6,-9,-9,-9,2
507420,7915580,E12000007,H,2,1,1,5,2,2,1,4,1,2,9,1,8,-9,2
480365,7883640,E12000007,H,2,1,2,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
341022,7741807,E12000002,H,2,1,1,5,2,2,1,2,1,2,1,2,2,3,1
81836,7478213,E12000008,H,5,1,2,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
561546,7813636,E12000005,C,-9,1,2,8,5,2,2,3,1,2,5,-9,-9,-9,-9
463707,7864395,E12000007,H,1,1,2,3,1,2,1,1,1,1,1,2,11,3,2
323397,7724746,E12000008,H,2,1,2,6,2,2,1,4,1,2,5,4,8,-9,2
166911,7566310,E12000006,H,5,1,2,6,5,2,1,2,1,2,1,4,10,2,2
448022,7853416,E12000007,H,2,1,2,1,1,1,1,1,1,5,-9,-9,-9,-9,-9
27210,7423335,E12000004,H,2,1,2,1,1,1,1,1,3,7,-9,-9,-9,-9,-9
320696,7720471,E12000008,H,2,1,1,2,1,2,1,2,1,1,3,7,4,-9,3
75015,7471451,E12000008,H,2,1,1,7,2,2,2,1,3,1,5,5,5,-9,4
436202,7843149,E12000003,H,2,1,2,4,2,2,1,2,1,2,7,9,5,-9,1
344722,7744014,E12000002,H,3,1,2,7,1,2,1,4,1,2,5,9,6,-9,4
480850,7882603,E12000007,H,5,1,2,2,1,1,1,2,1,2,6,-9,-9,-9,2
162893,7561507,E12000006,H,2,1,2,5,2,2,1,2,1,2,1,3,4,3,1
559643,7458263,E12000006,C,-9,3,2,2,1,1,2,2,1,1,6,9,5,-9,-9
